0,78,23,2017-08-02,7.7285,33.7971,90.6622
1,59,23,2013-05-28,66.4684,69.0114,61.7318
2,95,14,2017-05-15,4.4858,82.3694,18.1002
3,46,36,2002-03-02,48.3514,83.9276,90.7644
4,67,89,2010-09-26,0.0191,23.3629,80.4736
5,26,90,2014-04-23,7.9434,87.4742,39.7782
6,83,75,2006-09-28,22.0493,76.957,41.7886
7,55,20,2016-08-16,28.9701,43.5079,64.7738
8,42,95,2006-05-28,34.478,54.5467,74.1213
9,9,26,2017-05-17,18.8454,57.6313,70.8263
10,16,71,2015-10-07,80.9046,95.0382,99.7496
11,62,44,1999-09-09,33.4207,4.7093,60.1015
12,57,29,2002-06-17,70.8917,67.1657,23.1929
13,74,40,2011-11-10,66.8251,46.6892,39.8374
14,28,71,2012-12-16,26.1365,26.8343,99.9114
15,97,86,2004-10-03,70.8644,44.801,95.8361
16,54,95,2009-08-28,17.2477,21.626,14.9484
17,65,58,2013-04-21,22.4708,66.1884,95.2168
18,69,8,2011-06-05,73.6129,11.9448,84.3693
19,30,76,2010-03-24,93.3284,60.3876,15.4245
