49,68,40,0,2011-12-25,82.7859,71.7732
47,61,30,1,2000-05-12,88.1057,65.3246
14,6,96,2,2011-01-06,58.4149,9.8356
61,58,77,3,2017-08-27,98.6134,57.7911
98,27,12,4,2001-05-24,55.5579,79.142
61,73,57,5,2010-01-03,72.689,49.8852
5,22,88,6,2006-01-25,98.6094,91.0196
46,53,47,7,2004-10-11,29.0255,21.007
4,46,41,8,2005-08-06,76.4619,13.0142
30,73,85,9,2014-12-27,93.8168,99.392
90,87,55,10,2001-03-26,33.717,17.6055
11,71,21,11,2004-05-11,90.0194,50.8588
62,93,94,12,2016-05-06,45.7443,32.4465
82,82,23,13,2006-03-08,61.2042,95.2536
0,46,84,14,2012-12-25,50.2848,65.1598
67,89,69,15,2014-03-08,70.7608,80.247
32,54,0,16,2005-07-25,93.5488,87.3322
73,69,53,17,2008-06-08,9.8943,89.885
57,40,8,18,2011-10-23,6.6395,86.2951
5,56,69,19,2012-03-23,44.636,90.3152
