0	94	34	2009-10-14	71.4038	19.8662	93.3106
1	56	41	2011-02-17	89.7087	78.9353	57.7554
2	81	48	2008-01-20	91.3972	22.4579	0.1611
3	52	60	2016-11-02	43.3802	61.7662	93.2422
4	10	99	2012-04-23	87.4593	54.758	57.9697
5	88	99	2017-07-12	48.1995	5.0324	5.1291
6	18	63	2001-02-15	19.969	79.9624	38.966
7	27	9	1999-01-19	89.2592	93.9464	28.0471
8	83	60	2008-09-16	24.8696	25.8099	33.4411
9	12	61	2003-08-20	20.3014	72.2256	12.0849
10	7	80	2000-09-05	71.551	53.0162	74.96
11	72	51	2004-03-28	25.0942	2.2991	31.2373
12	34	67	2003-12-01	29.9467	33.5553	53.3199
13	45	25	2008-11-25	59.2492	75.9875	58.747
14	93	40	2012-12-22	13.7376	6.8785	31.1394
15	39	84	2002-11-25	52.156	4.03	52.1545
16	1	5	2010-01-17	52.0917	98.6519	87.5296
17	84	32	2003-03-07	8.5093	38.9659	24.0952
18	75	64	2014-09-10	87.3317	98.8549	81.257
19	72	73	2007-04-23	32.749	7.2291	96.6227
